"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'4210201325529";"472825958";"901357374";"4210201325529";"Насадки для электрической зубной щетки Oral-B Cross Action CleanMaximiser Black (8шт)";"'92.5";"Oral-B";"Продается";"55";"'4.50";"Показывается";;"2023-03-20 14:14:25";"Аксессуары для электроники";"'0.40";"'0.1";"22";"0";"0";"0";"0";"0";"5080.00";"6670.00";;;;"20%"
"'Б0057091";"473338110";"902266359";"4210201423461";"Эпилятор Braun Silk-epil 3 S3 SE 3-276 RBY";"'82.5";"Braun";"Продается";"179";"'4.60";"Показывается";;"2023-03-21 08:14:11";"Косметическая техника";"'1.01";"'0.3";"8";"0";"0";"14";"14";"0";"10500.00";"14570.00";;;;"20%"
"'Б0059311";"473338112";"902267745";"4210201426738";"Эпилятор Braun Silk-epil 9 SensoSmart 9-725, белый";"'75";"Braun";"Продается";"10";"'5.00";"Показывается";;"2023-03-21 08:14:11";"Косметическая техника";"'2.52";"'0.6";"7";"0";"0";"5";"5";"0";"23600.00";"35750.00";;;;"20%"
"'81551804";"473470236";"902472868";"2000000190013";"Насадка на расширенную головку эпилятора Braun";"'40";"Braun";"Готов к продаже";"2";"'5.00";"Показывается";;"2023-03-21 09:49:22";"Косметическая техника";"'0.19";"'0.1";"0";"0";"0";"0";"0";"0";"1490.00";"2150.00";;;;"20%"
"'81429117";"473475675";"902489932";"2000000190617";"Насадка машинки для стрижки HC3050/5050 (3-24 мм)";"'25";"Braun";"Продается";"2";"'0.00";"Показывается";;"2023-03-21 09:54:58";"Аксессуары для электроники";"'0.25";"'0.1";"6";"0";"0";"17";"0";"0";"2500.00";"3320.00";;;;"20%"
"'81428925";"473497927";"902527104";"2000000191256";"Режущий блок машинки для стрижки волос Braun";"'32.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2023-03-21 10:14:19";"Аксессуары для электроники";"'0.24";"'0.1";"0";"0";"0";"5";"5";"0";"4315.00";"5980.00";;;;"20%"
"'51-R1200S";"484192219";"921973250";"4210201429333";"Мужская электробритва Braun Series 5 51-R1200S Red/Black";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-04-04 07:59:19";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"4";"0";"0";"5";"5";"0";"15940.00";"23990.00";;;;"20%"
"'Б0058412";"487151353";"927122673";"4210201432906";"Мужская электробритва Braun Series 6 61-B1000s";"'45";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-04-07 12:23:16";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"1";"0";"0";"7";"7";"0";"21290.00";"29980.00";;;;"20%"
"'SK3300";"514613909";"976295198";"4210201418252";"Машинка для стрижки Braun SK3300 + Бритва Gillette";"'82.5";"Braun";"Продается";"7";"'5.00";"Показывается";;"2023-05-11 12:19:18";"Электронные товары для красоты и здоровья";"'2.14";"'0.4";"7";"0";"0";"23";"23";"0";"5725.00";"8170.00";;;;"20%"
"'81261898";"525627008";"995556407";"2000000190723";"Чехол Премиум для бритв Braun Series 3/7, Waterflex";"'55";"Braun";"Готов к продаже";"1";"'0.00";"Показывается";;"2023-05-24 07:13:50";"Аксессуары для электроники";"'0.43";"'0.1";"0";"0";"0";"0";"0";"0";"3175.00";"4730.00";;;;"20%"
"'7312880579";"525627623";"995556552";"2000000190945";"Резервуар для воды парогенератора BRAUN IS7155WH / 2 литра / пластик";"'50";"Braun";"Готов к продаже";"2";"'5.00";"Показывается";;"2023-05-24 07:13:57";"Электронная техника для дома";"'7.50";"'1.5";"0";"0";"0";"0";"0";"0";"3745.00";"5420.00";;;;"20%"
"'80373472";"527503462";"998735776";"4210201443629";"Насадки для электрической зубной щетки Oral-B EB50RB Cross Action 6 шт";"'100";"Oral-B";"Продается";"19";"'4.90";"Показывается";;"2023-05-25 13:34:09";"Аксессуары для электроники";"'0.44";"'0.1";"7";"0";"0";"11";"11";"0";"3220.00";"4280.00";;;;"20%"
"'BT3340";"527573737";"998873463";"4210201418030";"Триммер Braun BT3340 / 20 настроек длины / 2 насадки-гребня";"'92.5";"Braun";"Готов к продаже";"225";"'4.90";"Показывается";;"2023-05-25 14:36:03";"Электронные товары для красоты и здоровья";"'2.21";"'1.0";"0";"0";"0";"0";"0";"0";"6135.00";"8990.00";;;;"20%"
"'Б0060662";"536935535";"1015563256";"4210201434672";"Электрическая зубная щетка ORAL-B iO 10 Cosmic Black, 7 режимов, датчик давления";"'100";"Oral-B";"Продается";"3";"'2.50";"Показывается";;"2023-06-05 09:35:52";"Электронные товары для красоты и здоровья";"'4.54";"'0.9";"8";"0";"0";"13";"13";"0";"48630.00";"71500.00";;;;"20%"
"'MGK3235";"542166558";"1024924216";"4210201398806";"Триммер для волос Braun MGK3235 6 в 1 / Насадка для точного стайлинга / 4 гребня";"'80";"Braun";"Готов к продаже";"109";"'4.90";"Показывается";;"2023-06-09 13:05:24";"Электронные товары для красоты и здоровья";"'3.75";"'0.8";"0";"0";"0";"0";"0";"0";"5935.00";"8230.00";;;;"20%"
"'AS00000214";"549004577";"1036953472";"2000000202693";"Диск для картофеля фри к измельчителю Braun HB901/MQ91xx";"'57.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2023-06-16 13:17:28";"Аксессуары для электроники";"'1.28";"'0.3";"0";"0";"0";"3";"0";"0";"2420.00";"3350.00";;;;"20%"
"'AX22110049";"549004742";"1036953546";"8021098001559";"Измельчитель для специй для HB701-MQ70xx, MQ90xx, HB901-MQ91xx";"'62.5";"Braun";"Продается";"5";"'5.00";"Показывается";;"2023-06-16 13:17:31";"Аксессуары для электроники";"'1.13";"'0.3";"0";"0";"0";"3";"3";"0";"6975.00";"10560.00";;;;"20%"
"'4210201415022";"566566805";"1068296372";"4210201415022";"Электрическая зубная щетка Oral-B iO 4 Matt Black, дорожный футляр, 4 режима, с датчиком давления";"'100";"Oral-B";"Продается";"16";"'5.00";"Показывается";;"2023-07-07 09:47:07";"Электронные товары для красоты и здоровья";"'4.54";"'0.9";"10";"0";"0";"47";"47";"0";"13860.00";"19510.00";;;;"20%"
